risk_behavior_group,sample_size,alcohol_users,alcohol_use_proportion,alcohol_use_percent
No other risk behavior,6937,1960,0.28254288597376387,28.254288597376387
Other risk behavior,5138,3404,0.6625145971195018,66.25145971195018
