grade_level,sex_group,sample_size,alcohol_users,alcohol_use_proportion,alcohol_use_percent
10th grade,Female,1572,662,0.4211195928753181,42.11195928753181
10th grade,Male,1550,670,0.432258064516129,43.225806451612904
11th grade,Female,1687,750,0.44457617071724953,44.457617071724954
11th grade,Male,1477,739,0.5003385240352065,50.033852403520655
12th grade,Female,1622,826,0.5092478421701603,50.924784217016025
12th grade,Male,1611,886,0.5499689633767846,54.99689633767846
9th grade,Female,1521,613,0.40302432610124916,40.30243261012492
9th grade,Male,1560,538,0.34487179487179487,34.48717948717949
